qs_ranking,ch_name,en_name
QS排名：1,麻省理工学院,Massachusetts Institute of Technology
QS排名：2,剑桥大学,University of Cambridge
QS排名：3,斯坦福大学,Stanford University
QS排名：4,牛津大学,University of Oxford
QS排名：5,哈佛大学,Harvard University
QS排名：6,帝国理工学院,Imperial College London
QS排名：6,加州理工学院,California Institute of Technology
QS排名：8,伦敦大学学院,University College London
QS排名：10,芝加哥大学,University of Chicago
QS排名：11,新加坡国立大学,National University of Singapore
QS排名：13,宾夕法尼亚大学,University of Pennsylvania
QS排名：15,爱丁堡大学,The University of Edinburgh
QS排名：16,普林斯顿大学,Princeton University
QS排名：18,耶鲁大学,Yale University
QS排名：19,南洋理工大学,Nanyang Technological University
QS排名：20,康奈尔大学,Cornell University
QS排名：21,香港大学,The University of Hong Kong
QS排名：22,哥伦比亚大学,Columbia University
QS排名：24,约翰霍普金斯大学,Johns Hopkins University
QS排名：25,密歇根大学安娜堡分校,"University of Michigan, Ann Arbor"
QS排名：27,加州大学伯克利分校,"University of California, Berkeley"
QS排名：28,曼彻斯特大学,The University of Manchester
QS排名：30,澳大利亚国立大学,Australian National University
QS排名：32,西北大学,Northwestern University
QS排名：33,墨尔本大学,The University of Melbourne
QS排名：37,伦敦大学国王学院,King's College London
QS排名：38,香港中文大学,The Chinese University of Hong Kong
QS排名：39,纽约大学,New York University
QS排名：40,香港科技大学,The Hong Kong University of Science and Technology
QS排名：41,悉尼大学,The University of Sydney
QS排名：44,加州大学洛杉矶分校,"University of California, Los Angeles"
QS排名：45,新南威尔士大学,The University of New South Wales
QS排名：50,杜克大学,Duke University
QS排名：50,昆士兰大学,The University of Queensland
QS排名：52,卡内基梅隆大学,Carnegie Mellon University
QS排名：53,加州大学圣地亚哥分校,"University of California, San Diego"
QS排名：54,香港城市大学,City University of Hong Kong
QS排名：56,伦敦政治经济学院,The London School of Economics and Political Science
QS排名：57,莫纳什大学,Monash University
QS排名：61,布里斯托大学,University of Bristol
QS排名：63,布朗大学,Brown University
QS排名：64,华威大学,The University of Warwick
QS排名：65,香港理工大学,The Hong Kong Polytechnic University
QS排名：72,德克萨斯大学奥斯汀分校,University of Texas at Austin
QS排名：78,南安普顿大学,University of Southampton
QS排名：80,华盛顿大学,University of Washington
QS排名：81,格拉斯哥大学,University of Glasgow
QS排名：83,威斯康星大学麦迪逊分校,University of Wisconsin-Madison
QS排名：85,伊利诺伊大学香槟分校,University of Illinois at Urbana-Champaign
QS排名：86,利兹大学,University of Leeds
QS排名：88,佐治亚理工学院,Georgia Institute of Technology
QS排名：90,西澳大学,The University of Western Australia
QS排名：91,伯明翰大学,University of Birmingham
QS排名：92,杜伦大学,Durham University
QS排名：93,宾夕法尼亚州立大学,Pennsylvania State University
QS排名：96,圣安德鲁斯大学,University of St Andrews
QS排名：96,谢菲尔德大学,The University of Sheffield
QS排名：100,莱斯大学,Rice University
